"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
22542498;"2022.10.27 10:22:45";27.10.2022;"10:22:45";"sell";0,04;".de40cash";13.170,00;0,00;0,00;"2022.10.27 10:24:16";27.10.2022;"10:24:16";13.156,50;"0.00";"0.00";0,00;0,54
22543394;"2022.10.27 10:29:53";27.10.2022;"10:29:53";"buy";0,04;".de40cash";13.136,00;0,00;0,00;"2022.10.27 10:30:13";27.10.2022;"10:30:13";13.139,90;"0.00";"0.00";0,00;0,16
22545795;"2022.10.27 11:08:03";27.10.2022;"11:08:03";"buy";0,04;".de40cash";13.137,00;0,00;0,00;"2022.10.27 11:11:29";27.10.2022;"11:11:29";13.141,80;"0.00";"0.00";0,00;0,19
22548219;"2022.10.27 11:32:43";27.10.2022;"11:32:43";"sell";0,04;".de40cash";13.160,50;0,00;0,00;"2022.10.27 11:40:35";27.10.2022;"11:40:35";13.149,50;"0.00";"0.00";0,00;0,44
22560304;"2022.10.27 15:19:50";27.10.2022;"15:19:50";"buy";0,04;".de40cash";13.108,00;0,00;0,00;"2022.10.27 15:22:25";27.10.2022;"15:22:25";13.116,30;"0.00";"0.00";0,00;0,33
22561031;"2022.10.27 15:20:15";27.10.2022;"15:20:15";"buy";0,04;".de40cash";13.091,80;0,00;0,00;"2022.10.27 15:22:22";27.10.2022;"15:22:22";13.116,70;"0.00";"0.00";0,00;1,00
22562610;"2022.10.27 15:27:07";27.10.2022;"15:27:07";"buy";0,04;".de40cash";13.143,50;0,00;0,00;"2022.10.27 15:27:16";27.10.2022;"15:27:16";13.154,60;"0.00";"0.00";0,00;0,44
22564581;"2022.10.27 15:32:27";27.10.2022;"15:32:27";"buy";0,04;".de40cash";13.169,00;0,00;0,00;"2022.10.27 15:33:55";27.10.2022;"15:33:55";13.150,30;"0.00";"0.00";0,00;-0,75
22565144;"2022.10.27 15:32:43";27.10.2022;"15:32:43";"buy";0,04;".de40cash";13.166,20;0,00;0,00;"2022.10.27 15:33:16";27.10.2022;"15:33:16";13.169,90;"0.00";"0.00";0,00;0,15
22565785;"2022.10.27 15:33:34";27.10.2022;"15:33:34";"buy";0,04;".de40cash";13.161,00;0,00;0,00;"2022.10.27 15:58:55";27.10.2022;"15:58:55";13.165,80;"0.00";"0.00";0,00;0,19
